sent_id,sentence,n_gold_clusters,n_sys_triples,n_correct_sys_triples,n_recalled_clusters,precision,recall,f1
25,And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .,5,7,0,0,0.0,0.0,0.0
26,"Andrea Bianco 's atlas of 1436 comprises ten leaves of vellum , measuring , in an 18th-century binding .",5,9,0,0,0.0,0.0,0.0
27,"Apartment buildings , shops , medical clinics , cinemas etc. were built in close proximity to the MAZ plant , providing plant workers with local necessities .",8,9,0,0,0.0,0.0,0.0
28,"Applications can use this service to record activity for a production system while implementations of other OSIDs can use the service to record detailed data during development , debugging , or analyzing performance .",3,13,0,0,0.0,0.0,0.0
29,"As Attorney General he clashed with Daniel O'Connell when he insisted , against O'Connell 's wishes , on the appointment of Abraham Brewster as Law Adviser to the Lord Lieutenant of Ireland .",8,6,0,0,0.0,0.0,0.0
30,"As a group , the team was enshrined into the Basketball Hall of Fame in 1959 .",2,8,0,0,0.0,0.0,0.0
31,"As a result , it becomes clear that the microbe can not survive outside a narrow pH range .",2,11,0,0,0.0,0.0,0.0
32,"As a result , the lower river had to be dredged three times in two years .",1,10,0,0,0.0,0.0,0.0
33,"As early as the 15th century , the French kings sent commissioners to the provinces to inspect on royal and administrative affairs and to take necessary action .",1,9,0,0,0.0,0.0,0.0
34,"As in his first novel , Armah contrasts the two worlds of materialism and moral values , corruption and dreams , two worlds of integrity and social pressure .",17,24,0,0,0.0,0.0,0.0
35,"As is true for all sensors , absolute accuracy of a measurement requires a functionality for calibration .",1,17,0,0,0.0,0.0,0.0
36,"As of `` A Wind in the Door '' , Sandy aspires to become a banker , on the grounds that it is practical and lucrative .",2,2,0,0,0.0,0.0,0.0
37,"As part of several efforts to have the Gypsy Horse recognized as a breed outside the Romanichal community , a more descriptive name was sought for it , starting in the 1990s .",3,14,0,0,0.0,0.0,0.0
38,"Assisting in the recording process were Fernando Cabello and two friends of the group , Eva Dalda and Lydia Iovanne .",5,6,0,0,0.0,0.0,0.0
39,"At a presentation in the Toronto Pearson International Airport hangar , Celine Dion helped the newly solvent airline debut its new image .",5,8,0,0,0.0,0.0,0.0
40,"At least 11 villagers disappeared and 8 people were killed in the ensuing tsunami , two of which are prisoners at one of the Permisan prisons .",3,6,0,0,0.0,0.0,0.0
41,"At no cost to the parents , these services are provided in compliance with state and federal law ; and are reasonably calculated to yield meaningful educational benefit and student progress .",5,11,0,0,0.0,0.0,0.0
42,"At one point , Ballard is nearly possessed , but resists when she is given a drug and discovers that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars .",4,6,0,0,0.0,0.0,0.0
43,"Barbara , however , unable to leave behind her vigilante life , fought a mugger and ultimately miscarried her child .",5,8,0,0,0.0,0.0,0.0
44,"Because Yesler Way marks the boundary between two different plats , the street grid north of Yesler does not line up with the neighborhood 's other streets , so the northern `` border '' of the district zigzags along numerous streets .",7,5,0,0,0.0,0.0,0.0
45,"Because of Muhammad 's role in its formation , the alliance plays a significant role in Islamic ethics .",3,12,0,0,0.0,0.0,0.0
46,"Because of his talents and training , Beast can outperform any Olympic-level athlete , contorting his body and performing aerial feats gracefully .",5,2,0,0,0.0,0.0,0.0
47,Bruce 's Justice Lord counterpart was happily married to Wonder Woman as well until her Justice Lord counterpart killed him .,1,5,0,0,0.0,0.0,0.0
48,"Burnham died of heart failure at the age of 86 , on September 1 , 1947 at his home in Santa , Barbara , California .",4,9,0,0,0.0,0.0,0.0
49,"But this practice simply reduces government interest costs rather than truly canceling government debt , and can result in hyperinflation if used unsparingly .",1,7,0,0,0.0,0.0,0.0
50,"By then , she was raising not only her own children but also her nephews , who had been orphaned by the plague .",2,20,0,0,0.0,0.0,0.0
51,"By this point , Simpson had returned to his mansion in Brentwood and had surrendered to police .",2,4,0,0,0.0,0.0,0.0
52,Chevalier fulfilled his promise the following year by erecting a shrine dedicated to the honour of Mary under the title of `` Our Lady of the Sacred Heart '' .,5,10,0,0,0.0,0.0,0.0
53,Cis-regulatory elements are sequences that control the transcription of a nearby gene .,1,5,0,0,0.0,0.0,0.0
54,Citizens for Responsibility and Ethics in Washington filed an Ethics Committee complaint against Bond over his role in the ouster of Graves .,4,8,0,0,0.0,0.0,0.0
55,"Combined with appropriate match pellets these rifles produce a consistent 10 ring performance , so a non-maximal result during the initial phase can be attributed to the participant .",3,5,0,0,0.0,0.0,0.0
56,"Curley was the first classical organist to perform a solo organ recital at the White House , and also played before several European heads of state .",4,10,0,0,0.0,0.0,0.0
57,"DC Comics held a memorial service in Manhattan 's Lower East Side , a neighborhood Eisner often visited in his work , at the Angel Orensanz Foundation on Norfolk Street .",6,8,0,0,0.0,0.0,0.0
58,"Despite the below-freezing temperatures , Beuerlein was red-hot , out-dueling Brett Favre and connecting on 29 of 42 attempts , with 3 TDs and no INTs , and passing for a then franchise-record 373 yards .",7,6,0,0,0.0,0.0,0.0
59,"Dodo was originally intended to have a `` common '' accent , and is portrayed this way at the end of `` The Massacre '' .",3,7,0,0,0.0,0.0,0.0
60,"Dr. Pim played for Ireland against England in 1892 , 1893 , 1894 and 1896 .",8,21,0,0,0.0,0.0,0.0
61,"Due to the opposing nature of the two songs , they can be viewed as a debate on the opposing attitudes on love found throughout the play .",5,9,0,0,0.0,0.0,0.0
62,"Due to the transmitter location being based in Tyrone and a smaller signal wattage , it was barely hearable in the northern portions of Atlanta beyond the downtown area or even the northern reaches of Fulton or DeKalb Counties , as it was a rimshot to the southwest of the city .",6,4,0,0,0.0,0.0,0.0
63,"During the Second World War , the number of Turkish run cafes increased from 20 in 1939 to 200 in 1945 which created a demand for more Turkish Cypriot workers .",3,13,0,0,0.0,0.0,0.0
64,During the morning and evening rush hours some services run direct to/from Paddington and Reading .,6,4,0,0,0.0,0.0,0.0
65,"During the off-season the ACT Rugby Union was renamed the ACT and Southern NSW Rugby Union , and the name of the team was changed to Brumbies Rugby .",2,9,0,0,0.0,0.0,0.0
66,Each of the Matoran brought their Toa stone and met each other at the Great Temple .,2,10,0,0,0.0,0.0,0.0
67,"Falun Gong 's teachings are compiled from Li 's lectures , and Li holds definitional power in that belief system .",6,8,0,0,0.0,0.0,0.0
68,"Fans reacted to the news of the suspension by canceling their XM Radio subscriptions , with some fans even going as far as smashing their XM units .",3,11,0,0,0.0,0.0,0.0
69,"From the start of the first semester of 2010 , the University banned smoking on any of its property , including inside and outside buildings in areas that were once designated as smoking areas .",2,11,0,0,0.0,0.0,0.0
70,"Furthermore , knowledge and interest pertaining to the event , as well as the level of importance , contribute to the frequency of rehearsal .",2,6,0,0,0.0,0.0,0.0
71,Gameplay is very basic ; the player must shoot constantly at a continual stream of enemies in order to reach the end of each level .,2,9,0,0,0.0,0.0,0.0
72,"Gavin Hood is a South African filmmaker , screenwriter , producer and actor , best known for writing and directing the Academy Award-winning Foreign Language Film `` Tsotsi '' .",7,8,0,0,0.0,0.0,0.0
73,"George Bluth Sr. , patriarch of the Bluth family , is the founder and former CEO of the Bluth Company which markets and builds mini-mansions among many other activities .",7,13,0,0,0.0,0.0,0.0
74,"Godzilla and Battra battled on the ocean floor , until they caused a rift to open between tectonic plates .",4,18,0,0,0.0,0.0,0.0
75,"Good 1H NMR spectra can be acquired with 16 repeats , which takes only minutes .",2,4,0,0,0.0,0.0,0.0
76,"HTB 's aim is for an Alpha course to be accessible to anyone who would like to attend the course , and in this way HTB seeks to spread the teachings of Christianity .",2,10,0,0,0.0,0.0,0.0
77,"Hapoel Lod played in the top division during the 1960s and 1980s , and won the State Cup in 1984 .",3,7,0,0,0.0,0.0,0.0
78,"Having been directed to found a monastery of his order in the United States in 1873 , Fr .",2,4,0,0,0.0,0.0,0.0
79,Hawker Pacific Aerospace is a MRO-Service company which offers landing gear and hydraulic MRO services for all major aircraft types .,2,9,0,0,0.0,0.0,0.0
80,He also possesses enhanced senses and can track people for great distances over open terrain and his feet are sensitive enough to detect electronic signals through solid walls and floors .,2,5,0,0,0.0,0.0,0.0
81,"He also took 124 wickets , with 7 for 39 and 6 for 44 against Sargodha in 1962-63 his best bowling figures .",5,8,0,0,0.0,0.0,0.0
82,"He appeared in that game alongside his Arsenal midfield colleague Brian Marwood , who had joined them from Sheffield Wednesday eight months earlier .",6,8,0,0,0.0,0.0,0.0
83,"He defines Wild Cards as ` Low Probability , High Impact events that , were they to occur , would severely impact the human condition ' .",3,7,0,0,0.0,0.0,0.0
84,"He finds himself in a desert as a group of Neo Arcadians surround him , ending the game .",3,12,0,0,0.0,0.0,0.0
85,He had spent 11 years in jail despite having been acquitted twice .,2,9,0,0,0.0,0.0,0.0
86,"He is idolized , receiving the name of `` God '' .",1,10,0,0,0.0,0.0,0.0
87,"He left only a small contingent to guard the defile , and took his entire army to destroy the plain that lay ahead of Alexander 's army .",2,10,0,0,0.0,0.0,0.0
88,"He lodged near the hospital at 28 St Thomas 's Street in Southwark , with other medical students , including Henry Stephens who became a famous inventor and ink magnate .",7,13,0,0,0.0,0.0,0.0
89,He played Perker in the 1985 adaptation of `` The Pickwick Papers '' .,2,10,0,0,0.0,0.0,0.0
90,"He represented the riding of Nickel Belt in the Sudbury , Ontario area .",3,4,0,0,0.0,0.0,0.0
91,"He talked to McGee about using his name and received permission , which is confirmed by correspondence between McGee and his family .",2,14,0,0,0.0,0.0,0.0
92,"He was a member of the European Convention , which drafted the text of the European Constitution that never entered into force .",1,10,0,0,0.0,0.0,0.0
93,"Her image held aloft signifies the Earth , which `` hangs in the air '' .",2,1,0,0,0.0,0.0,0.0
94,"Hilf al-Fudul was a 7th-century alliance created by various Meccans , including the Islamic prophet Muhammad , to establish fair commercial dealing .",2,6,0,0,0.0,0.0,0.0
95,"Historically , Aiseau was a village dedicated to agriculture , logging , but also to the industry .",1,16,0,0,0.0,0.0,0.0
96,"Hoechst 33342 and 33258 are quenched by Bromodeoxyuridine , which is commonly used to detect dividing cells .",2,12,0,0,0.0,0.0,0.0
97,"Hofmann was a below-average high school student , but he had many hobbies including magic , electronics , chemistry , and stamp and coin collecting .",1,12,0,0,0.0,0.0,0.0
98,"However , after pressure campaigns from various human rights groups , BAE Systems recently stated it no longer produces land mines or cluster bombs .",2,8,0,0,0.0,0.0,0.0
99,"However , comic relief sidekick `` Mike McGurk '' bears some resemblance to Tracy 's partner from the strip , Pat Patton ; Tracy 's secretary , Gwen Andrews , provides the same kind of feminine interest as Tess Trueheart ; and FBI Director Clive Anderson is the same kind of avuncular superior as Chief Brandon .",11,12,0,0,0.0,0.0,0.0
100,"However , during his rehearsal , Knievel lost control of the motorcycle and crashed into a cameraman .",3,4,0,0,0.0,0.0,0.0
101,"However , it became far less safe for the Nationals from 1983 onward , and strong population growth over the last three decades has seen it progressively lose its rural territory and reduced it to a more coastal-based and urbanised division .",4,4,0,0,0.0,0.0,0.0
102,"However , when the antigenicities of the seed strains and wild viruses do not match , vaccines fail to protect the vaccinees .",2,10,0,0,0.0,0.0,0.0
103,"If given this data , the Germans would be able to adjust their aim and correct any shortfall .",1,9,0,0,0.0,0.0,0.0
104,"If the second excitation pulse is sent prematurely before the relaxation is complete , the average magnetization vector still points in a nonparallel direction , giving suboptimal absorption and emission of the pulse .",2,10,0,0,0.0,0.0,0.0
105,"In 1005 for example , the governor of the important Adriatic port of Dyrrhachium had surrendered the town to Basil II .",1,5,0,0,0.0,0.0,0.0
106,"In 1866 , he began a second term as Lord Chancellor , which ended with his death in the next year .",2,4,0,0,0.0,0.0,0.0
107,"In 1911 , with Francis La Flesche , she published `` The Omaha Tribe '' .",2,10,0,0,0.0,0.0,0.0
108,"In 1926 , `` The News and Courier '' was bought by the owners of Charleston 's main evening paper , `` The Evening Post . ''",2,7,0,0,0.0,0.0,0.0
109,In 1964 Barrie appeared in two episodes of `` Alfred Hitchcock Presents '' .,2,5,0,0,0.0,0.0,0.0
110,"In 1972 , he won from Yakutpura and later in 1978 , again from Charminar .",2,4,0,0,0.0,0.0,0.0
111,"In 1972 , researchers found metallic conductivity in the charge-transfer complex TTF-TCNQ .",1,4,0,0,0.0,0.0,0.0
112,In 1975 Barrie was directed by Lee Grant in the television movie `` For The Use Of The Hall '' as `` Charlotte '' .,5,10,0,0,0.0,0.0,0.0
113,"In 1977 she appeared in two television films , as the mother of Lesley Ann Warren 's character in `` 79 Park Avenue '' and as Emily McPhail in `` Tell Me My Name '' .",6,6,0,0,0.0,0.0,0.0
114,"In 1987 , Rodan became president of the American Society for Bone and Mineral Research .",1,9,0,0,0.0,0.0,0.0
115,"In 1990 Kelsang Gyatso became also outspoken against the Geshe Studies Programme , and `` made the pursuit of his new programmes compulsory . ''",2,12,0,0,0.0,0.0,0.0
116,"In 2004 the Brumbies finished at the top of the Super 12 table , six points clear of the next best team .",2,9,0,0,0.0,0.0,0.0
117,"In 2006 they applied for National League Three , finishing in 5th place and qualifying for the play-offs , where they lost to St Albans Centurions .",4,21,0,0,0.0,0.0,0.0
118,"In 2007 , Sun announced `` Project Indiana '' with several goals , including providing an open source binary distribution of the OpenSolaris project , replacing SXDE .",4,6,0,0,0.0,0.0,0.0
119,"In 2010 , scam websites co-opted a photograph of her to promote health treatments , the ubiquitous `` 1 weird old tip '' belly fat diets , and penny auctions , unauthorized usage of which Theuriau was initially unaware .",7,13,0,0,0.0,0.0,0.0
120,"In 2011 , major vendors launched several consumer-oriented motherboards using the Intel 6-series LGA 1155 chipset and AMD 9 Series AM3 + chipsets with UEFI .",4,7,0,0,0.0,0.0,0.0
121,"In 2012 , Bloomberg Businessweek voted San Francisco as America 's Best City .",2,7,0,0,0.0,0.0,0.0
122,"In 54 BC , Marcus Perperna is mentioned as one of the consulars who bore testimony on behalf of Marcus Aemilius Scaurus at his trial .",2,11,0,0,0.0,0.0,0.0
123,"In Canada , there are two organizations that regulate university and collegiate athletics .",2,10,0,0,0.0,0.0,0.0
124,"In French , `` droit '' can mean `` the whole body of the Law '' , as in the motto `` dieu et mon droit , '' which is to say `` God and my whole body of Law . ''",5,10,0,0,0.0,0.0,0.0
125,"In Jewish Hebrew , the Samaritans are called `` Shomronim '' , while in Samaritan Hebrew they call themselves `` Shamerim '' .",4,5,0,0,0.0,0.0,0.0
126,"In Jewish belief , its fulfilment will be revealed in the cumulation of Creation , in the era of resurrection , in the physical World .",1,6,0,0,0.0,0.0,0.0
127,"In June , Nasser took control of the interior ministry post from Naguib loyalist Sulayman Hafez , and pressured Naguib to conclude the abolition of the monarchy .",5,13,0,0,0.0,0.0,0.0
128,In October 2009 it was confirmed that the Byrom Street cutting was a hitching and unhitching point for trains being cable hauled to Edge Hill via the Victoria Tunnel .,2,6,0,0,0.0,0.0,0.0
129,"In September 1941 , she joined the Women 's Auxiliary Air Force , working at the Department of the Chief of Air Staff as Assistant Section Officer for Intelligence duties , before being posted in July 1942 to Moreton-in-Marsh , where she was promoted to Section officer .",5,7,0,0,0.0,0.0,0.0
130,"In Van Howe 's study , all cases of meatal stenosis were among circumcised boys .",3,6,0,0,0.0,0.0,0.0
131,"In `` The Andromeda Strain '' , Michael Crichton 's first novel published under his real name , only two people exposed to a pathogenic extraterrestrial microbe survive .",4,7,0,0,0.0,0.0,0.0
132,"In a typical case of substrate interference , a Language A occupies a given territory and another Language B arrives in the same territory .",2,9,0,0,0.0,0.0,0.0
133,"In addition , as John Cecil Masterman , chairman of the Twenty Committee , commented , `` If , for example , St Paul 's Cathedral were hit , it was useless and harmful to report that the bomb had descended upon a cinema in Islington , since the truth would inevitably get through to Germany ... ''",2,3,0,0,0.0,0.0,0.0
134,"In athletics , Boston College left the Big East Conference and joined the Atlantic Coast Conference on July 1 , 2005 .",3,5,0,0,0.0,0.0,0.0
135,In both cases this specialized function replaces the basic rifleman position in the fireteam .,2,7,0,0,0.0,0.0,0.0
136,"In its first six months , RCPO concluded 858 cases convictions in 88 % of cases .",3,12,0,0,0.0,0.0,0.0
137,"In modern classifications , it is often treated as a subfamily of the Glyphipterigidae family .",2,10,0,0,0.0,0.0,0.0
138,"In more recent years , this policy has apparently relaxed somewhat .",1,13,0,0,0.0,0.0,0.0
139,"In order to support planned TRAX expansion , UTA ordered 77 Siemens S70 light rail vehicles from Siemens AG .",5,9,0,0,0.0,0.0,0.0
140,"In particular , Cyprinidae of southwestern North America have been severely affected ; a considerable number went entirely extinct after settlement by Europeans .",2,5,0,0,0.0,0.0,0.0
141,"In the 1901 election , after which the Oppositionists under George Leake were able to form a minority government , Frank Wilson , formerly the member for Canning , won the seat .",4,11,0,0,0.0,0.0,0.0
142,In the 1960s and 70s most of Kabul 's economy depended on tourism .,2,3,0,0,0.0,0.0,0.0
143,"In the 1986 television series `` War and Remembrance '' , Johns took the role of the senior Nazi SS officer Adolf Eichmann .",3,15,0,0,0.0,0.0,0.0
144,"In the Civil War , he advocated strong prosecution of the Union War effort , the end of slavery , and civil rights for freed African Americans .",3,8,0,0,0.0,0.0,0.0
145,"In the Crimean War , the 5th Dragoon Guards formed part of the Heavy Cavalry Brigade and was sent to the Black Sea in 1854 .",2,9,0,0,0.0,0.0,0.0
146,"In the early 19th century the Welsh Methodists broke away from the Anglican church and established their own denomination , now the Presbyterian Church of Wales .",4,10,0,0,0.0,0.0,0.0
147,"In the north and east inhabitants speak Bumthangkha , and in the extreme southeast Khengkha is spoken .",4,12,0,0,0.0,0.0,0.0
148,"In the winter of 1976 , Knievel was scheduled for a major jump in Chicago , Illinois .",2,20,0,0,0.0,0.0,0.0
149,"In this explanation the purpose of Creation is that `` God desired a dwelling place in the lower realms '' - it is man who transforms the mundane , lowest World into an abode for God 's essence .",4,7,0,0,0.0,0.0,0.0
150,"In those years , he began to collaborate with some newspapers .",1,10,0,0,0.0,0.0,0.0
151,"Initially flying the A-4B Skyhawk , the squadron later transitioned to the A-4L Skyhawk .",4,11,0,0,0.0,0.0,0.0
152,Initially his chances of surviving were thought to be no better than 50-50 .,1,8,0,0,0.0,0.0,0.0
153,"It has long hind legs and a long , slender , scaly tail that it uses to communicate by making drumming noises .",5,20,0,0,0.0,0.0,0.0
154,"It is essentially the same as the dialect spoken in Xiamen , and is unintelligible with Standard Chinese .",2,7,0,0,0.0,0.0,0.0
155,"It is not really passable , and must be done on foot if attempted .",1,5,0,0,0.0,0.0,0.0
156,It is part of the Surrey Hills Area of Outstanding Beauty and situated on the Green Sand Way .,2,15,0,0,0.0,0.0,0.0
157,"It was named for Gen. Eleazer Wheelock Ripley , an officer in the War of 1812 , who was mainly remembered for the Battle of Lundy 's Lane and the Siege of Fort Erie , in 1814 .",3,6,0,0,0.0,0.0,0.0
158,"It was originally aimed at mature entrants to the teaching profession , who could not afford to give up work and undertake a traditional method of teacher training such as the PGCE .",1,5,0,0,0.0,0.0,0.0
159,"Its cultivation even declined in favour of the Asian species , which was introduced to East Africa early in the common era and spread westward .",2,2,0,0,0.0,0.0,0.0
160,JAL introduced jet service on the Fukuoka-Tokyo route in 1961 .,1,6,0,0,0.0,0.0,0.0
161,James Arthur Hogue is a US impostor who most famously entered Princeton University by posing as a self-taught orphan .,3,8,0,0,0.0,0.0,0.0
162,"John Stewart and Guy Gardner brought down New Warworld and the Yellow Central Power Battery , which were detonated next to the Anti-Monitor , and contained by a shield created by hundreds of Green Lanterns to contain the explosion ; even this was not enough to kill him .",9,11,0,0,0.0,0.0,0.0
163,"Johns also appeared as an Imperial Officer in the 1980 `` Star Wars sequel '' , `` The Empire Strikes Back '' .",6,7,0,0,0.0,0.0,0.0
164,"Keats 's long and expensive medical training with Hammond and at Guy 's Hospital led his family to assume he would pursue a lifelong career in medicine , assuring financial security , and it seems that at this point Keats had a genuine desire to become a doctor .",5,6,0,0,0.0,0.0,0.0
165,Keibler then asked for time off to appear on `` Dancing with the Stars '' .,2,9,0,0,0.0,0.0,0.0
166,"Kim graduated from Ballard High School in Louisville , Kentucky , in 1989 and from Oberlin College in Ohio in 1993 where he double-majored in Government and English and played for the varsity lacrosse team .",7,9,0,0,0.0,0.0,0.0
167,"Kostabi 's other releases include : `` Songs For Sumera '' , `` New Alliance '' and `` The Spectre Of Modernism '' .",4,6,0,0,0.0,0.0,0.0
168,Langford kept Walcott at a distance with his longer reach and used his footwork to evade all of Walcott 's attacks .,2,2,0,0,0.0,0.0,0.0
169,"Language B then begins to supplant language A : the speakers of Language A abandon their own language in favor of the other language , generally because they believe that it will help them achieve certain goals within government , the workplace , and in social settings .",5,5,0,0,0.0,0.0,0.0
170,"Lemmy believes that if Will Reid Dick had not been there , they could have worked through the problems , but ended up exchanging a few words and Clarke left the studio .",4,15,0,0,0.0,0.0,0.0
171,Lens subluxation is also seen in dogs and is characterized by a partial displacement of the lens .,2,4,0,0,0.0,0.0,0.0
172,"Li Hongzhi began his public teachings of Falun Gong on 13 May 1992 in Changchun , and subsequently gave lectures and taught Falun Gong exercises across China .",3,5,0,0,0.0,0.0,0.0
173,"Like other BBC content of the mid-1990s , it often lampooned the low-budget quality of satellite television available in the UK at the time .",4,4,0,0,0.0,0.0,0.0
174,Luke Robert Ravenstahl is an American politician who served as the 59th Mayor of Pittsburgh from 2006 until 2014 .,3,8,0,0,0.0,0.0,0.0
175,"Males had a median income of $ 28,750 versus $ 16,250 for females .",4,7,0,0,0.0,0.0,0.0
176,"Males had a median income of $ 36,016 versus $ 32,679 for females .",4,5,0,0,0.0,0.0,0.0
177,"Many are surgically removed for aesthetics and relief of psychosocial burden , but larger ones are also excised for prevention of cancer , although the benefit is impossible to assess for any individual patient .",3,5,0,0,0.0,0.0,0.0
178,"Many overseas Chinese whose ancestors came from the Quanzhou area , especially those in Southeast Asia , often speak mainly Hokkien at home .",5,9,0,0,0.0,0.0,0.0
179,"Meanwhile , the Mason City Division continued to operate as usual .",1,14,0,0,0.0,0.0,0.0
180,"Models , taking into account the size and room number of the barrack blocks in the Gorgan Wall forts and likely occupation density , produce figures between 15,000 and 36,000 soldiers .",6,12,0,0,0.0,0.0,0.0
181,"Modern educational methods were more widely spread throughout the Empire , and the country embarked on a development scheme and plans for modernization , tempered by Ethiopian traditions , and within the framework of the ancient monarchical structure of the state .",7,11,0,0,0.0,0.0,0.0
182,Modernity has been blended without sacrificing on the traditional Buddhist ethos .,1,7,0,0,0.0,0.0,0.0
183,Modification of the river began in earnest with the arrival of the Florida East Coast Railway in Miami in 1896 .,2,6,0,0,0.0,0.0,0.0
184,"Moore briefly dropped Marciano in the second round , but Marciano recovered and knocked Moore down five times , knocking him out in the ninth to retain the belt .",3,5,0,0,0.0,0.0,0.0
185,No announcement from UTV was made about the decision to close the station earlier than planned .,2,19,0,0,0.0,0.0,0.0
186,Noatak has a gravel public airstrip and is primarily reached by air .,4,5,0,0,0.0,0.0,0.0
187,Not everyone completely trusted Vakama 's vision - Matau was particularly frustrated at following what he considered the delusions of a `` fire-spitter '' - but with nothing else to go on they decided to track the Matoran down .,5,21,0,0,0.0,0.0,0.0
188,"Nothing is known for certain about his life before about 1580 , but contemporary or near-contemporary accounts suggest that he was brought up as a member of the Church of Scotland , spent some time in Argyll before leaving for the Continent , and was converted to Catholicism in Spain .",1,2,0,0,0.0,0.0,0.0
189,"Obviously the epilogue was not an afterthought supplied too late for the English edition , for it is referred to in `` The Castaway '' : `` in the sequel of the narrative , it will then be seen what like abandonment befell myself . ''",1,15,0,0,0.0,0.0,0.0
190,"Of the rest of the population , there was 1 individual who belonged to the Christian Catholic faith .",4,2,0,0,0.0,0.0,0.0
191,"On 16 June 1944 , British double agent `` Garbo '' was requested by his German controllers to give information on the sites and times of V-1 impacts , with similar requests made to the other German agents in Britain , `` Brutus '' and `` Tate '' .",10,11,0,0,0.0,0.0,0.0
192,"On May 13 , 2010 , Yost was named manager of the Kansas City Royals , replacing Trey Hillman .",4,20,0,0,0.0,0.0,0.0
193,"On May 15 , 2007 , XM suspended Opie & Anthony for 30 days , in response to a broadcast featuring a homeless man who wandered into the studio .",3,12,0,0,0.0,0.0,0.0
194,"On November 2 , 2005 , Brown ended his contract early and left the federal government .",3,5,0,0,0.0,0.0,0.0
195,"One candidate is a wreck at the western end of Manitoulin Island in Lake Huron , with another wreck near Escanaba , Michigan , also proposed .",5,13,0,0,0.0,0.0,0.0
196,"One example could be `` Time '' , the fifth song from Pink Floyd 's 1973 album `` The Dark Side Of The Moon '' , which contains a reprise of `` Breathe '' , the first song of the same album .",9,10,0,0,0.0,0.0,0.0
