sent_id,sentence,n_sys_triples,n_high_fidelity_triples,avg_correctness(precision),completeness(recall),f1
33,"Andrea Bianco 's atlas of 1436 comprises ten leaves of vellum , measuring , in an 18th-century binding .",9,8,0.971,1.0,0.985
34,"Apartment buildings , shops , medical clinics , cinemas etc. were built in close proximity to the MAZ plant , providing plant workers with local necessities .",24,24,0.982,0.938,0.959
35,"Applications can use this service to record activity for a production system while implementations of other OSIDs can use the service to record detailed data during development , debugging , or analyzing performance .",17,17,0.995,1.0,0.998
36,Applying this technique facilitates the connection of the center of the foot with the lower abdomen .,2,2,1.0,1.0,1.0
37,"As Attorney General he clashed with Daniel O'Connell when he insisted , against O'Connell 's wishes , on the appointment of Abraham Brewster as Law Adviser to the Lord Lieutenant of Ireland .",14,12,0.981,1.0,0.99
38,"As a group , the team was enshrined into the Basketball Hall of Fame in 1959 .",6,5,0.982,1.0,0.991
39,"As a result , it becomes clear that the microbe can not survive outside a narrow pH range .",8,7,0.971,1.0,0.985
40,"As a result , the lower river had to be dredged three times in two years .",6,5,0.969,1.0,0.984
41,"As early as the 15th century , the French kings sent commissioners to the provinces to inspect on royal and administrative affairs and to take necessary action .",11,10,0.98,1.0,0.99
42,"As in his first novel , Armah contrasts the two worlds of materialism and moral values , corruption and dreams , two worlds of integrity and social pressure .",6,6,0.991,1.0,0.996
43,"As is true for all sensors , absolute accuracy of a measurement requires a functionality for calibration .",8,8,1.0,1.0,1.0
44,"As of `` A Wind in the Door '' , Sandy aspires to become a banker , on the grounds that it is practical and lucrative .",5,4,0.956,0.889,0.921
45,"As part of several efforts to have the Gypsy Horse recognized as a breed outside the Romanichal community , a more descriptive name was sought for it , starting in the 1990s .",12,11,0.966,1.0,0.983
46,"Assisting in the recording process were Fernando Cabello and two friends of the group , Eva Dalda and Lydia Iovanne .",2,2,1.0,0.833,0.909
47,"At a presentation in the Toronto Pearson International Airport hangar , Celine Dion helped the newly solvent airline debut its new image .",5,5,0.994,1.0,0.997
48,"At least 11 villagers disappeared and 8 people were killed in the ensuing tsunami , two of which are prisoners at one of the Permisan prisons .",9,7,0.95,1.0,0.975
49,"At no cost to the parents , these services are provided in compliance with state and federal law ; and are reasonably calculated to yield meaningful educational benefit and student progress .",7,5,0.958,1.0,0.979
50,"At one point , Ballard is nearly possessed , but resists when she is given a drug and discovers that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars .",20,18,0.984,0.947,0.965
51,"Barbara , however , unable to leave behind her vigilante life , fought a mugger and ultimately miscarried her child .",4,2,0.93,1.0,0.964
52,"Because Yesler Way marks the boundary between two different plats , the street grid north of Yesler does not line up with the neighborhood 's other streets , so the northern `` border '' of the district zigzags along numerous streets .",10,9,0.975,0.962,0.968
53,"Because of Muhammad 's role in its formation , the alliance plays a significant role in Islamic ethics .",5,5,0.98,1.0,0.99
54,"Because of his talents and training , Beast can outperform any Olympic-level athlete , contorting his body and performing aerial feats gracefully .",8,8,0.982,1.0,0.991
55,Bruce 's Justice Lord counterpart was happily married to Wonder Woman as well until her Justice Lord counterpart killed him .,5,4,0.972,1.0,0.986
56,"Burnham died of heart failure at the age of 86 , on September 1 , 1947 at his home in Santa , Barbara , California .",10,10,0.983,1.0,0.991
57,"But this practice simply reduces government interest costs rather than truly canceling government debt , and can result in hyperinflation if used unsparingly .",8,7,0.955,0.944,0.95
58,"By then , she was raising not only her own children but also her nephews , who had been orphaned by the plague .",6,6,0.993,1.0,0.996
59,"By this point , Simpson had returned to his mansion in Brentwood and had surrendered to police .",7,5,0.961,1.0,0.98
60,"Byers states that global citizenship is a `` powerful term '' because `` people that invoke it do so to provoke and justify action , '' and encourages the attendees of his lecture to re-appropriate it in order for its meaning to have a positive purpose , based on idealistic values .",21,18,0.944,0.962,0.953
61,"Carl uses the `` old magic '' to tame the Deep Crow , claiming it is not his `` first time to the rodeo . ''",9,8,0.981,1.0,0.99
62,Certain fractional quantum Hall phases appear to have the right properties for building a topological quantum computer .,4,4,0.974,1.0,0.987
63,Chevalier fulfilled his promise the following year by erecting a shrine dedicated to the honour of Mary under the title of `` Our Lady of the Sacred Heart '' .,13,11,0.972,1.0,0.986
64,Cis-regulatory elements are sequences that control the transcription of a nearby gene .,4,4,1.0,1.0,1.0
65,Citizens for Responsibility and Ethics in Washington filed an Ethics Committee complaint against Bond over his role in the ouster of Graves .,9,9,1.0,1.0,1.0
66,"Combined with appropriate match pellets these rifles produce a consistent 10 ring performance , so a non-maximal result during the initial phase can be attributed to the participant .",10,10,0.983,0.947,0.965
67,"Curley was the first classical organist to perform a solo organ recital at the White House , and also played before several European heads of state .",8,7,0.969,1.0,0.984
68,"DC Comics held a memorial service in Manhattan 's Lower East Side , a neighborhood Eisner often visited in his work , at the Angel Orensanz Foundation on Norfolk Street .",11,10,0.99,1.0,0.995
69,"Despite the below-freezing temperatures , Beuerlein was red-hot , out-dueling Brett Favre and connecting on 29 of 42 attempts , with 3 TDs and no INTs , and passing for a then franchise-record 373 yards .",11,10,0.968,1.0,0.984
70,"Dodo was originally intended to have a `` common '' accent , and is portrayed this way at the end of `` The Massacre '' .",6,4,0.957,0.9,0.927
71,"Dr. Pim played for Ireland against England in 1892 , 1893 , 1894 and 1896 .",9,8,0.985,1.0,0.993
72,"Due to the opposing nature of the two songs , they can be viewed as a debate on the opposing attitudes on love found throughout the play .",8,7,0.949,0.923,0.936
73,"Due to the transmitter location being based in Tyrone and a smaller signal wattage , it was barely hearable in the northern portions of Atlanta beyond the downtown area or even the northern reaches of Fulton or DeKalb Counties , as it was a rimshot to the southwest of the city .",13,11,0.973,1.0,0.986
74,"During the Second World War , the number of Turkish run cafes increased from 20 in 1939 to 200 in 1945 which created a demand for more Turkish Cypriot workers .",18,17,0.991,1.0,0.995
75,During the morning and evening rush hours some services run direct to/from Paddington and Reading .,4,3,0.932,1.0,0.965
76,"During the off-season the ACT Rugby Union was renamed the ACT and Southern NSW Rugby Union , and the name of the team was changed to Brumbies Rugby .",10,9,0.962,1.0,0.98
77,Each of the Matoran brought their Toa stone and met each other at the Great Temple .,7,6,0.967,1.0,0.983
78,"Each time Cluemaster escapes or starts some new plan , Stephanie dons her costume again .",4,3,0.974,0.75,0.848
79,Erotica and pornography involving sex between women have been predominantly produced by men for a male and female audience .,9,9,0.994,1.0,0.997
80,Failure to perform the duty could lead to prosecution at law and re-enslavement .,5,4,0.946,1.0,0.972
81,"Falun Gong 's teachings are compiled from Li 's lectures , and Li holds definitional power in that belief system .",8,8,0.984,1.0,0.992
82,"Fans reacted to the news of the suspension by canceling their XM Radio subscriptions , with some fans even going as far as smashing their XM units .",8,6,0.952,1.0,0.975
83,"From 1909 to 1912 , the Miami Canal was dug , bypassing the rapids at the head of the North Fork .",7,7,1.0,1.0,1.0
84,"From the start of the first semester of 2010 , the University banned smoking on any of its property , including inside and outside buildings in areas that were once designated as smoking areas .",12,11,0.985,1.0,0.992
85,"Furthermore , knowledge and interest pertaining to the event , as well as the level of importance , contribute to the frequency of rehearsal .",9,6,0.96,1.0,0.979
86,Gameplay is very basic ; the player must shoot constantly at a continual stream of enemies in order to reach the end of each level .,10,9,0.974,1.0,0.987
87,"Gavin Hood is a South African filmmaker , screenwriter , producer and actor , best known for writing and directing the Academy Award-winning Foreign Language Film `` Tsotsi '' .",10,9,0.983,1.0,0.991
88,"George Bluth Sr. , patriarch of the Bluth family , is the founder and former CEO of the Bluth Company which markets and builds mini-mansions among many other activities .",13,7,0.887,1.0,0.94
89,"Godzilla and Battra battled on the ocean floor , until they caused a rift to open between tectonic plates .",10,9,0.971,1.0,0.985
90,"Good 1H NMR spectra can be acquired with 16 repeats , which takes only minutes .",4,3,0.975,0.909,0.941
91,"HTB 's aim is for an Alpha course to be accessible to anyone who would like to attend the course , and in this way HTB seeks to spread the teachings of Christianity .",14,12,0.976,1.0,0.988
92,"Hapoel Lod played in the top division during the 1960s and 1980s , and won the State Cup in 1984 .",10,10,0.985,1.0,0.993
93,"Having been directed to found a monastery of his order in the United States in 1873 , Fr .",1,0,0.832,0.667,0.74
94,Hawker Pacific Aerospace is a MRO-Service company which offers landing gear and hydraulic MRO services for all major aircraft types .,6,6,1.0,1.0,1.0
95,He also possesses enhanced senses and can track people for great distances over open terrain and his feet are sensitive enough to detect electronic signals through solid walls and floors .,16,15,0.982,1.0,0.991
96,"He also took 124 wickets , with 7 for 39 and 6 for 44 against Sargodha in 1962-63 his best bowling figures .",12,11,0.991,1.0,0.995
97,"He appeared in that game alongside his Arsenal midfield colleague Brian Marwood , who had joined them from Sheffield Wednesday eight months earlier .",12,11,0.983,1.0,0.991
98,"He defines Wild Cards as ` Low Probability , High Impact events that , were they to occur , would severely impact the human condition ' .",8,7,0.978,1.0,0.989
99,"He finds himself in a desert as a group of Neo Arcadians surround him , ending the game .",12,12,1.0,1.0,1.0
100,He had spent 11 years in jail despite having been acquitted twice .,4,4,1.0,0.556,0.715
101,"He is idolized , receiving the name of `` God '' .",4,4,1.0,1.0,1.0
102,"He left his old company , V2 records , wanting to expand his career into something bigger .",10,10,0.968,1.0,0.984
103,"He left only a small contingent to guard the defile , and took his entire army to destroy the plain that lay ahead of Alexander 's army .",9,8,0.966,1.0,0.983
104,"He lodged near the hospital at 28 St Thomas 's Street in Southwark , with other medical students , including Henry Stephens who became a famous inventor and ink magnate .",10,9,0.987,1.0,0.994
105,He played Perker in the 1985 adaptation of `` The Pickwick Papers '' .,5,5,1.0,1.0,1.0
106,"He represented the riding of Nickel Belt in the Sudbury , Ontario area .",4,4,1.0,1.0,1.0
107,"He talked to McGee about using his name and received permission , which is confirmed by correspondence between McGee and his family .",10,8,0.971,1.0,0.985
108,"He was a member of the European Convention , which drafted the text of the European Constitution that never entered into force .",7,5,0.948,1.0,0.973
109,He was buried in the Abbey of the Psalms mausoleum at the Hollywood Forever Cemetery .,5,4,0.969,1.0,0.984
110,"He was subsequently reprieved for a month , and then again for a week .",4,2,0.922,1.0,0.959
111,"Her image held aloft signifies the Earth , which `` hangs in the air '' .",4,2,0.921,1.0,0.959
112,"Hilf al-Fudul was a 7th-century alliance created by various Meccans , including the Islamic prophet Muhammad , to establish fair commercial dealing .",10,10,0.988,1.0,0.994
113,"Historically , Aiseau was a village dedicated to agriculture , logging , but also to the industry .",6,4,0.951,1.0,0.975
114,"Hoechst 33342 and 33258 are quenched by Bromodeoxyuridine , which is commonly used to detect dividing cells .",9,8,0.988,1.0,0.994
115,"Hofmann was a below-average high school student , but he had many hobbies including magic , electronics , chemistry , and stamp and coin collecting .",12,12,1.0,0.938,0.968
116,"However , after pressure campaigns from various human rights groups , BAE Systems recently stated it no longer produces land mines or cluster bombs .",9,8,0.971,1.0,0.985
117,"However , comic relief sidekick `` Mike McGurk '' bears some resemblance to Tracy 's partner from the strip , Pat Patton ; Tracy 's secretary , Gwen Andrews , provides the same kind of feminine interest as Tess Trueheart ; and FBI Director Clive Anderson is the same kind of avuncular superior as Chief Brandon .",21,21,0.998,1.0,0.999
118,"However , during his rehearsal , Knievel lost control of the motorcycle and crashed into a cameraman .",6,4,0.928,1.0,0.963
119,"However , it became far less safe for the Nationals from 1983 onward , and strong population growth over the last three decades has seen it progressively lose its rural territory and reduced it to a more coastal-based and urbanised division .",13,12,0.977,0.963,0.97
120,"However , when the antigenicities of the seed strains and wild viruses do not match , vaccines fail to protect the vaccinees .",7,4,0.947,1.0,0.973
121,"If given this data , the Germans would be able to adjust their aim and correct any shortfall .",7,6,0.973,0.909,0.94
122,"If the second excitation pulse is sent prematurely before the relaxation is complete , the average magnetization vector still points in a nonparallel direction , giving suboptimal absorption and emission of the pulse .",11,11,0.988,1.0,0.994
123,"In 1005 for example , the governor of the important Adriatic port of Dyrrhachium had surrendered the town to Basil II .",10,10,0.995,1.0,0.997
124,"In 1866 , he began a second term as Lord Chancellor , which ended with his death in the next year .",10,9,0.987,1.0,0.993
125,"In 1911 , with Francis La Flesche , she published `` The Omaha Tribe '' .",5,5,0.99,1.0,0.995
126,"In 1926 , `` The News and Courier '' was bought by the owners of Charleston 's main evening paper , `` The Evening Post . ''",6,6,1.0,0.9,0.947
127,"In 1954 , a KOMO news photographer discovered a way to develop color film in a new process that took just a few hours instead of days .",13,13,0.993,1.0,0.997
128,In 1964 Barrie appeared in two episodes of `` Alfred Hitchcock Presents '' .,6,5,0.977,1.0,0.988
129,"In 1972 , he won from Yakutpura and later in 1978 , again from Charminar .",7,4,0.935,1.0,0.966
130,"In 1972 , researchers found metallic conductivity in the charge-transfer complex TTF-TCNQ .",6,6,1.0,1.0,1.0
131,In 1975 Barrie was directed by Lee Grant in the television movie `` For The Use Of The Hall '' as `` Charlotte '' .,7,7,1.0,1.0,1.0
132,"In 1977 she appeared in two television films , as the mother of Lesley Ann Warren 's character in `` 79 Park Avenue '' and as Emily McPhail in `` Tell Me My Name '' .",9,8,0.986,1.0,0.993
133,"In 1987 , Rodan became president of the American Society for Bone and Mineral Research .",3,3,0.982,1.0,0.991
134,"In 1990 Kelsang Gyatso became also outspoken against the Geshe Studies Programme , and `` made the pursuit of his new programmes compulsory . ''",5,5,0.982,0.933,0.957
135,"In 2004 the Brumbies finished at the top of the Super 12 table , six points clear of the next best team .",7,5,0.961,1.0,0.98
136,"In 2006 they applied for National League Three , finishing in 5th place and qualifying for the play-offs , where they lost to St Albans Centurions .",12,9,0.96,1.0,0.98
137,"In 2007 , Sun announced `` Project Indiana '' with several goals , including providing an open source binary distribution of the OpenSolaris project , replacing SXDE .",10,10,0.993,1.0,0.996
138,"In 2010 , scam websites co-opted a photograph of her to promote health treatments , the ubiquitous `` 1 weird old tip '' belly fat diets , and penny auctions , unauthorized usage of which Theuriau was initially unaware .",13,12,0.969,0.955,0.962
139,"In 2011 , major vendors launched several consumer-oriented motherboards using the Intel 6-series LGA 1155 chipset and AMD 9 Series AM3 + chipsets with UEFI .",9,9,1.0,1.0,1.0
140,"In 2012 , Bloomberg Businessweek voted San Francisco as America 's Best City .",5,5,1.0,1.0,1.0
141,"In 54 BC , Marcus Perperna is mentioned as one of the consulars who bore testimony on behalf of Marcus Aemilius Scaurus at his trial .",11,10,0.988,1.0,0.994
142,"In Canada , there are two organizations that regulate university and collegiate athletics .",3,3,1.0,1.0,1.0
143,"In French , `` droit '' can mean `` the whole body of the Law '' , as in the motto `` dieu et mon droit , '' which is to say `` God and my whole body of Law . ''",15,14,0.979,1.0,0.989
144,"In Jewish Hebrew , the Samaritans are called `` Shomronim '' , while in Samaritan Hebrew they call themselves `` Shamerim '' .",8,7,0.983,0.9,0.939
145,"In Jewish belief , its fulfilment will be revealed in the cumulation of Creation , in the era of resurrection , in the physical World .",9,8,0.988,0.909,0.947
146,"In June , Nasser took control of the interior ministry post from Naguib loyalist Sulayman Hafez , and pressured Naguib to conclude the abolition of the monarchy .",10,10,0.995,1.0,0.998
147,In October 2009 it was confirmed that the Byrom Street cutting was a hitching and unhitching point for trains being cable hauled to Edge Hill via the Victoria Tunnel .,12,11,0.977,1.0,0.988
148,"In September 1941 , she joined the Women 's Auxiliary Air Force , working at the Department of the Chief of Air Staff as Assistant Section Officer for Intelligence duties , before being posted in July 1942 to Moreton-in-Marsh , where she was promoted to Section officer .",20,18,0.98,1.0,0.99
149,"In Van Howe 's study , all cases of meatal stenosis were among circumcised boys .",7,7,0.989,1.0,0.995
150,"In `` The Andromeda Strain '' , Michael Crichton 's first novel published under his real name , only two people exposed to a pathogenic extraterrestrial microbe survive .",10,9,0.979,1.0,0.99
151,"In a news post , Holkins stated that he reserved the right to bring Carl back any time Krahulik goes to France .",11,11,0.98,1.0,0.99
152,"In a typical case of substrate interference , a Language A occupies a given territory and another Language B arrives in the same territory .",8,7,0.98,1.0,0.99
153,"In addition , as John Cecil Masterman , chairman of the Twenty Committee , commented , `` If , for example , St Paul 's Cathedral were hit , it was useless and harmful to report that the bomb had descended upon a cinema in Islington , since the truth would inevitably get through to Germany ... ''",20,16,0.974,0.968,0.971
154,"In athletics , Boston College left the Big East Conference and joined the Atlantic Coast Conference on July 1 , 2005 .",7,7,0.995,1.0,0.998
155,In both cases this specialized function replaces the basic rifleman position in the fireteam .,5,5,1.0,1.0,1.0
156,"In fact , Condon , after seeing Hauptmann in a lineup at New York Police Department Greenwich Street Station told FBI Special Agent Turrou that Hauptmann was not `` John , '' the man to whom Condon claimed he passed the ransom money to in St. Raymond 's Cemetery .",15,15,0.98,0.966,0.973
157,"In its first six months , RCPO concluded 858 cases convictions in 88 % of cases .",6,6,1.0,1.0,1.0
158,"In modern classifications , it is often treated as a subfamily of the Glyphipterigidae family .",5,4,0.963,1.0,0.981
159,"In more recent years , this policy has apparently relaxed somewhat .",2,2,1.0,0.75,0.857
160,"In order to support planned TRAX expansion , UTA ordered 77 Siemens S70 light rail vehicles from Siemens AG .",6,6,0.99,1.0,0.995
161,"In particular , Cyprinidae of southwestern North America have been severely affected ; a considerable number went entirely extinct after settlement by Europeans .",8,6,0.969,1.0,0.984
162,"In the 1901 election , after which the Oppositionists under George Leake were able to form a minority government , Frank Wilson , formerly the member for Canning , won the seat .",11,11,0.985,1.0,0.992
163,In the 1960s and 70s most of Kabul 's economy depended on tourism .,7,6,0.975,1.0,0.988
164,"In the 1986 television series `` War and Remembrance '' , Johns took the role of the senior Nazi SS officer Adolf Eichmann .",6,6,0.989,1.0,0.995
165,"In the Civil War , he advocated strong prosecution of the Union War effort , the end of slavery , and civil rights for freed African Americans .",9,9,1.0,1.0,1.0
166,"In the Crimean War , the 5th Dragoon Guards formed part of the Heavy Cavalry Brigade and was sent to the Black Sea in 1854 .",9,9,0.993,1.0,0.997
167,"In the early 19th century the Welsh Methodists broke away from the Anglican church and established their own denomination , now the Presbyterian Church of Wales .",6,5,0.982,1.0,0.991
168,"In the north and east inhabitants speak Bumthangkha , and in the extreme southeast Khengkha is spoken .",2,2,1.0,0.667,0.8
169,"In the winter of 1976 , Knievel was scheduled for a major jump in Chicago , Illinois .",5,4,0.957,1.0,0.978
170,"In this explanation the purpose of Creation is that `` God desired a dwelling place in the lower realms '' - it is man who transforms the mundane , lowest World into an abode for God 's essence .",15,15,1.0,1.0,1.0
171,"In those years , he began to collaborate with some newspapers .",4,3,0.947,1.0,0.973
172,"Initially flying the A-4B Skyhawk , the squadron later transitioned to the A-4L Skyhawk .",5,4,0.974,1.0,0.987
173,Initially his chances of surviving were thought to be no better than 50-50 .,4,3,0.968,1.0,0.983
174,"It has long hind legs and a long , slender , scaly tail that it uses to communicate by making drumming noises .",8,7,0.965,1.0,0.982
175,"It is essentially the same as the dialect spoken in Xiamen , and is unintelligible with Standard Chinese .",7,5,0.967,1.0,0.983
176,"It is not really passable , and must be done on foot if attempted .",5,4,0.935,1.0,0.966
177,It is part of the Surrey Hills Area of Outstanding Beauty and situated on the Green Sand Way .,5,4,0.952,1.0,0.975
178,It should be noted that these numbers are inclusive of any of the childminders own children .,9,8,0.979,0.875,0.924
179,It was chosen in 1901 because it was a triangulation station at the junction of the trancontinental triangulation arc of 1899 on the 39th parallel north and the triangulation arc along the 98th meridian west that was near the geographic center of the contiguous United States .,14,13,0.975,1.0,0.987
180,"It was named for Gen. Eleazer Wheelock Ripley , an officer in the War of 1812 , who was mainly remembered for the Battle of Lundy 's Lane and the Siege of Fort Erie , in 1814 .",12,11,0.983,1.0,0.991
181,"It was originally aimed at mature entrants to the teaching profession , who could not afford to give up work and undertake a traditional method of teacher training such as the PGCE .",11,10,0.953,0.947,0.95
182,"Its cultivation even declined in favour of the Asian species , which was introduced to East Africa early in the common era and spread westward .",7,5,0.956,1.0,0.978
183,JAL introduced jet service on the Fukuoka-Tokyo route in 1961 .,6,6,1.0,1.0,1.0
184,James Arthur Hogue is a US impostor who most famously entered Princeton University by posing as a self-taught orphan .,5,4,0.96,1.0,0.979
185,"John Stewart and Guy Gardner brought down New Warworld and the Yellow Central Power Battery , which were detonated next to the Anti-Monitor , and contained by a shield created by hundreds of Green Lanterns to contain the explosion ; even this was not enough to kill him .",19,17,0.979,1.0,0.99
186,"Johns also appeared as an Imperial Officer in the 1980 `` Star Wars sequel '' , `` The Empire Strikes Back '' .",5,4,0.979,0.917,0.947
187,"Keats 's long and expensive medical training with Hammond and at Guy 's Hospital led his family to assume he would pursue a lifelong career in medicine , assuring financial security , and it seems that at this point Keats had a genuine desire to become a doctor .",21,21,0.996,1.0,0.998
188,Keibler then asked for time off to appear on `` Dancing with the Stars '' .,2,1,0.943,0.625,0.752
189,"Kim graduated from Ballard High School in Louisville , Kentucky , in 1989 and from Oberlin College in Ohio in 1993 where he double-majored in Government and English and played for the varsity lacrosse team .",15,10,0.912,1.0,0.954
190,"Kostabi 's other releases include : `` Songs For Sumera '' , `` New Alliance '' and `` The Spectre Of Modernism '' .",2,2,1.0,1.0,1.0
191,Langford kept Walcott at a distance with his longer reach and used his footwork to evade all of Walcott 's attacks .,11,10,0.97,1.0,0.985
192,"Language B then begins to supplant language A : the speakers of Language A abandon their own language in favor of the other language , generally because they believe that it will help them achieve certain goals within government , the workplace , and in social settings .",20,19,0.989,1.0,0.995
193,"Lemmy believes that if Will Reid Dick had not been there , they could have worked through the problems , but ended up exchanging a few words and Clarke left the studio .",12,9,0.944,0.957,0.95
194,Lens subluxation is also seen in dogs and is characterized by a partial displacement of the lens .,5,5,0.984,1.0,0.992
195,"Li Hongzhi began his public teachings of Falun Gong on 13 May 1992 in Changchun , and subsequently gave lectures and taught Falun Gong exercises across China .",13,12,0.985,1.0,0.993
196,"Like other BBC content of the mid-1990s , it often lampooned the low-budget quality of satellite television available in the UK at the time .",10,9,0.97,1.0,0.985
197,Luke Robert Ravenstahl is an American politician who served as the 59th Mayor of Pittsburgh from 2006 until 2014 .,10,10,0.986,1.0,0.993
198,"Males had a median income of $ 28,750 versus $ 16,250 for females .",7,7,0.992,1.0,0.996
199,"Males had a median income of $ 36,016 versus $ 32,679 for females .",8,8,0.989,1.0,0.995
200,"Many are surgically removed for aesthetics and relief of psychosocial burden , but larger ones are also excised for prevention of cancer , although the benefit is impossible to assess for any individual patient .",13,11,0.973,0.952,0.962
201,"Many overseas Chinese whose ancestors came from the Quanzhou area , especially those in Southeast Asia , often speak mainly Hokkien at home .",11,11,0.997,1.0,0.999
202,"Meanwhile , the Mason City Division continued to operate as usual .",1,0,0.842,0.143,0.244
203,"Models , taking into account the size and room number of the barrack blocks in the Gorgan Wall forts and likely occupation density , produce figures between 15,000 and 36,000 soldiers .",11,10,0.986,1.0,0.993
204,"Modern educational methods were more widely spread throughout the Empire , and the country embarked on a development scheme and plans for modernization , tempered by Ethiopian traditions , and within the framework of the ancient monarchical structure of the state .",14,13,0.987,1.0,0.993
205,Modernity has been blended without sacrificing on the traditional Buddhist ethos .,2,2,0.964,0.875,0.917
206,Modification of the river began in earnest with the arrival of the Florida East Coast Railway in Miami in 1896 .,9,7,0.974,1.0,0.987
207,"Moore briefly dropped Marciano in the second round , but Marciano recovered and knocked Moore down five times , knocking him out in the ninth to retain the belt .",15,13,0.977,0.941,0.959
208,Much of the station remains in the disused subway but there is no public access .,6,4,0.949,0.9,0.924
209,"Muhammad ibn Abu Bakr was a pious Muslim who supported the Imam of his time , Ali ibn Abi Talib , even though his sister Aisha opposed ` Ali in the battle of Jamal , Ibn Abu Bakr was faithful to his stepfather .",18,18,0.989,1.0,0.995
