sent_id,sentence,n_sys_triples,n_high_fidelity_triples,avg_correctness(precision),completeness(recall),f1
97,Mr. Ackerman contended that it was a direct response to his efforts to gain control of Datapoint .,7,7,0.979,1.0,0.99
98,Both companies are allies of Navigation Mixte in its fight against a hostile takeover bid launched last week by Cie .,5,5,0.984,0.929,0.956
99,"After a break of four years , he became a Lord Justice of Appeal .",5,3,0.939,1.0,0.968
100,"Salomon Brothers says , `` We believe the real estate properties would trade at a discount ... after the realty unit is spun off ... .",6,6,0.985,0.941,0.963
101,"However , Paul Johanson , Monsanto 's director of plant sciences , said the company 's chemical spray overcomes these problems and is `` gentle on the female organ . ''",10,10,0.995,1.0,0.998
102,Ms. Waleson is a free - lance writer based in New York .,4,4,0.996,1.0,0.998
103,"Premark International Inc. , for example , peddles the M8.7sp Electronic Cycling Simulator , a $ 2,000 stationary cycle .",5,5,0.996,1.0,0.998
104,Mrs. Marcos 's trial is expected to begin in March .,2,2,0.959,1.0,0.979
105,Bioengineers set out to duplicate that feat -- scientifically and commercially -- with new life forms .,4,2,0.913,1.0,0.955
106,"The company is expected to spend about $ 30 million a year on its two - year corporate campaign , created by WPP Group 's Ogilvy & Mather unit in New York .",9,8,0.985,1.0,0.992
107,"Great Northern Nekoosa soared $ 20.125 a share , to $ 62.875 , substantially above the $ 58 a share Georgia - Pacific is offering .",5,4,0.945,1.0,0.972
108,"The machine can run software written for other Mips computers , the company said .",7,7,0.981,1.0,0.99
109,That compared with an operating loss of $ 1.9 million on sales of $ 27.4 million in the year - earlier period .,9,8,0.986,1.0,0.993
110,President Bush said that three members of his cabinet will lead a presidential mission to Poland to gauge how the U.S. can help the new non - Communist government 's economic changes .,12,12,0.998,1.0,0.999
111,"Stephen McCartin , Mr. Hunt 's attorney , said his client welcomed the gamble .",6,6,0.978,1.0,0.989
112,One group of middle - aged manufacturing men from the company 's Zama plant outside Tokyo was supposed to check out a trendy restaurant in the city .,7,5,0.96,1.0,0.98
113,"Boyer and Cohen , for instance , both still university researchers , had to be talked into applying for a patent on their gene - splicing technique -- and then the Patent Office refused to grant it .",13,11,0.97,1.0,0.985
114,"His recent appearance at the Metropolitan Museum , dubbed `` A Musical Odyssey , '' was a case in point .",4,4,0.973,1.0,0.986
115,"`` There are some things that have gone on here that nobody can explain , '' she says .",2,2,1.0,0.8,0.889
116,"The brokerage firm tracks technology stocks with its Technology Index , which appreciated only 10.59 % in the first nine months of this year .",7,7,1.0,1.0,1.0
117,I worry more about things becoming so unraveled on the other side that they might become unable to negotiate .,7,5,0.942,1.0,0.97
118,"We finally rendezvoused with our balloon , which had come to rest on a dirt road amid a clutch of Epinalers who watched us disassemble our craft -- another half - an - hour of non - flight activity -- that included the precision routine of yanking the balloon to the ground , punching all the air out of it , rolling it up and cramming it and the basket into the trailer .",27,24,0.975,1.0,0.988
119,A federation official attributed the decline to brisk demand from domestic industries backed by continuing economic expansion in Japan .,8,8,1.0,1.0,1.0
120,"But it could also help American companies , which also are starting to try to open the market .",5,4,0.941,0.9,0.92
121,A company spokesman did n't know Mr. Wakeman 's age .,2,2,0.951,1.0,0.975
122,"The offering , Series 109 , is backed by Freddie Mac 10 % securities .",5,5,1.0,1.0,1.0
123,The 10.48 % yield represents a spread to the 20 - year Treasury of 2.45 percentage points .,4,4,1.0,1.0,1.0
124,"Orkem , France 's third - largest chemical group , said it would fund the acquisition through internal resources .",8,8,0.964,1.0,0.982
125,"`` I ca n't do anything score - wise , but I like meeting the girls . ''",4,1,0.912,0.8,0.852
126,"New York bonds , which have been hammered in recent weeks on the pending supply and reports that the city 's economy is growing weaker , rose 1\/2 point yesterday .",11,10,0.991,1.0,0.995
127,Four other countries in Europe have approved Proleukin in recent months .,5,4,0.971,1.0,0.985
128,General Dynamics Corp. was given an $ 843 million Air Force contract for F - 16 aircraft and related equipment .,3,3,1.0,1.0,1.0
129,The divested Courtaulds textile operations had operating profit of # 50 million on # 980 million in revenue in the year ended March 31 .,9,9,1.0,1.0,1.0
130,"When it comes to busting ghosts , the Monroe , Conn. , couple are perfect demons .",4,4,0.99,1.0,0.995
131,"A Coca - Cola spokesman said it is too early to say how the joint venture would be structured , or how much the company would invest in the transaction .",12,11,0.982,1.0,0.991
132,We just want a plan that satisfies creditors and at the end leaves a healthy Revco . '',10,9,0.986,1.0,0.993
133,Some have been training for months ; others only recently left active status .,6,6,0.977,1.0,0.988
134,"Merrill also said it is lobbying for significant regulatory controls on program trading , including tough margin -- or down - payment -- requirements and limits on price moves for program - driven financial futures .",14,14,0.991,1.0,0.996
135,He did not go as far as he could have in tax reductions ; indeed he combined them with increases in indirect taxes .,7,6,0.976,0.923,0.949
136,The problem is that Japanese businesses make decisions with a view well beyond the coming months that weigh so heavily on Mr. Salinas .,10,9,0.971,1.0,0.985
137,"A Ford spokesman said the Dearborn , Mich. , auto maker is n't aware of any injuries caused by the windshield problem .",7,7,0.974,1.0,0.987
138,"More big Japanese investors are buying U.S. mortgage - backed securities , reversing a recent trend .",5,5,1.0,1.0,1.0
139,"An alternative and more convincing explanation , confirmed by recent events and a close inspection of the Gorbachev program , is that the new Soviet economic and social structures are intended to conform to a model other than that of the market .",10,9,0.979,1.0,0.989
140,RU-486 is being administered in France only under strict supervision in the presence of a doctor .,6,5,0.957,1.0,0.978
141,"Earlier this year , President Bush made a final `` take - it - or - leave it '' offer on the minimum wage : an increase to $ 4.25 an hour over three years , and only if accompanied by a lower wage for the first six months of a job .",22,20,0.988,0.96,0.974
142,"For owners who have followed the recommended oil maintenance schedule , Mazda will extend to five years or 60,000 miles the warranty term for engine damage due to abnormal engine oil deterioration .",11,11,0.992,1.0,0.996
143,"The New York City issue included $ 757 million of tax - exempt bonds priced to yield between 6.50 % to 7.88 % , depending on the maturity .",12,11,0.985,1.0,0.992
144,And the lawyers were just as eager as the judge to wrap it up .,4,3,0.953,1.0,0.976
145,"Their laboratory credentials established , Boyer and Swanson headed for Wall Street in 1980 .",8,7,0.984,1.0,0.992
146,Japan 's No. 111 4.6 % bond due 1998 ended the day on brokers screens at 95.11 to yield 5.43 % .,12,12,0.996,1.0,0.998
147,He accused Dow Jones of `` using unfair means to obtain the stock at an unfair price . '',8,8,0.983,1.0,0.992
148,"`` They 're getting some major wins , '' she added .",3,3,1.0,1.0,1.0
149,Armstrong World Industries Inc. agreed in principle to sell its carpet operations to Shaw Industries Inc .,6,6,0.983,1.0,0.991
150,"In stock - index arbitrage , traders buy and sell large amounts of stocks with offsetting trades in stock - index futures and options .",8,8,0.988,1.0,0.994
151,"Interstate / Johnson Lane Inc. this year adds 70 people -- 60 of them in retail -- to its 1,300 - member staff .",8,8,0.989,1.0,0.994
152,"Eastern and its creditors are in the final , delicate stages of negotiating a second reorganization plan to pay off the airline 's debts .",8,8,0.989,1.0,0.994
153,"Trek previously made only traditional road bikes , but `` it did n't take a rocket scientist to change a road bike into a mountain bike , '' says Trek 's president , Dick Burke .",14,14,0.975,0.952,0.963
154,"Charles O. Givens of Mount Vernon , Ind. - investment broker , ex - accountant , and son of a former stable owner - bred Tennessee Walking Horses for six years , raised cattle for four , and never made a profit on either .",21,21,0.985,0.926,0.955
155,Mr. Baker heads the Kentucky Association of Science Educators and Skeptics .,2,2,1.0,1.0,1.0
156,Declining issues outnumbered advancers 551 to 349 ; 224 issues were unchanged .,7,6,0.978,1.0,0.989
157,"Moreover , such a sale could help Armstrong reassure its investors and deter the Belzbergs , who own a 9.85 % stake in the Lancaster , Pa. , company .",9,8,0.989,0.938,0.963
158,"He showed up with a carpenter 's level , carefully measured every surface and showed how the apparent shrinkage was caused by the perspective .",7,5,0.958,0.923,0.94
159,"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .",4,3,0.949,0.9,0.924
160,A casting director at the time told Scott that he had wished that he 'd met him a week before ; he was casting for the `` G.I. Joe '' cartoon .,12,12,0.987,1.0,0.993
161,"According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .",10,9,0.98,0.938,0.958
162,Applying this technique facilitates the connection of the center of the foot with the lower abdomen .,2,2,1.0,1.0,1.0
163,"As a result , the lower river had to be dredged three times in two years .",6,5,0.969,1.0,0.984
164,"Barbara , however , unable to leave behind her vigilante life , fought a mugger and ultimately miscarried her child .",4,2,0.93,1.0,0.964
165,Chevalier fulfilled his promise the following year by erecting a shrine dedicated to the honour of Mary under the title of `` Our Lady of the Sacred Heart '' .,13,11,0.972,1.0,0.986
166,Citizens for Responsibility and Ethics in Washington filed an Ethics Committee complaint against Bond over his role in the ouster of Graves .,9,9,1.0,1.0,1.0
167,"Due to the transmitter location being based in Tyrone and a smaller signal wattage , it was barely hearable in the northern portions of Atlanta beyond the downtown area or even the northern reaches of Fulton or DeKalb Counties , as it was a rimshot to the southwest of the city .",13,11,0.973,1.0,0.986
168,During the morning and evening rush hours some services run direct to/from Paddington and Reading .,4,3,0.932,1.0,0.965
169,"From the start of the first semester of 2010 , the University banned smoking on any of its property , including inside and outside buildings in areas that were once designated as smoking areas .",12,11,0.985,1.0,0.992
170,"Having been directed to found a monastery of his order in the United States in 1873 , Fr .",1,0,0.832,0.667,0.74
171,"He finds himself in a desert as a group of Neo Arcadians surround him , ending the game .",12,12,1.0,1.0,1.0
172,He played Perker in the 1985 adaptation of `` The Pickwick Papers '' .,5,5,1.0,1.0,1.0
173,"He represented the riding of Nickel Belt in the Sudbury , Ontario area .",4,4,1.0,1.0,1.0
174,He was buried in the Abbey of the Psalms mausoleum at the Hollywood Forever Cemetery .,5,4,0.969,1.0,0.984
175,"Historically , Aiseau was a village dedicated to agriculture , logging , but also to the industry .",6,4,0.951,1.0,0.975
176,"Hofmann was a below-average high school student , but he had many hobbies including magic , electronics , chemistry , and stamp and coin collecting .",12,12,1.0,0.938,0.968
177,"However , after pressure campaigns from various human rights groups , BAE Systems recently stated it no longer produces land mines or cluster bombs .",9,8,0.971,1.0,0.985
178,"However , when the antigenicities of the seed strains and wild viruses do not match , vaccines fail to protect the vaccinees .",7,4,0.947,1.0,0.973
179,"If the second excitation pulse is sent prematurely before the relaxation is complete , the average magnetization vector still points in a nonparallel direction , giving suboptimal absorption and emission of the pulse .",11,11,0.988,1.0,0.994
180,"In 1972 , he won from Yakutpura and later in 1978 , again from Charminar .",7,4,0.935,1.0,0.966
181,"In 1972 , researchers found metallic conductivity in the charge-transfer complex TTF-TCNQ .",6,6,1.0,1.0,1.0
182,"In 2007 , Sun announced `` Project Indiana '' with several goals , including providing an open source binary distribution of the OpenSolaris project , replacing SXDE .",10,10,0.993,1.0,0.996
183,"In 2010 , scam websites co-opted a photograph of her to promote health treatments , the ubiquitous `` 1 weird old tip '' belly fat diets , and penny auctions , unauthorized usage of which Theuriau was initially unaware .",13,12,0.969,0.955,0.962
184,"In Canada , there are two organizations that regulate university and collegiate athletics .",3,3,1.0,1.0,1.0
185,In October 2009 it was confirmed that the Byrom Street cutting was a hitching and unhitching point for trains being cable hauled to Edge Hill via the Victoria Tunnel .,12,11,0.977,1.0,0.988
186,"In a news post , Holkins stated that he reserved the right to bring Carl back any time Krahulik goes to France .",11,11,0.98,1.0,0.99
187,"In a typical case of substrate interference , a Language A occupies a given territory and another Language B arrives in the same territory .",8,7,0.98,1.0,0.99
188,"In fact , Condon , after seeing Hauptmann in a lineup at New York Police Department Greenwich Street Station told FBI Special Agent Turrou that Hauptmann was not `` John , '' the man to whom Condon claimed he passed the ransom money to in St. Raymond 's Cemetery .",15,15,0.98,0.966,0.973
189,"In order to support planned TRAX expansion , UTA ordered 77 Siemens S70 light rail vehicles from Siemens AG .",6,6,0.99,1.0,0.995
190,In the 1960s and 70s most of Kabul 's economy depended on tourism .,7,6,0.975,1.0,0.988
191,"In the Civil War , he advocated strong prosecution of the Union War effort , the end of slavery , and civil rights for freed African Americans .",9,9,1.0,1.0,1.0
192,Initially his chances of surviving were thought to be no better than 50-50 .,4,3,0.968,1.0,0.983
193,It should be noted that these numbers are inclusive of any of the childminders own children .,9,8,0.979,0.875,0.924
194,"Keats 's long and expensive medical training with Hammond and at Guy 's Hospital led his family to assume he would pursue a lifelong career in medicine , assuring financial security , and it seems that at this point Keats had a genuine desire to become a doctor .",21,21,0.996,1.0,0.998
195,"Kim graduated from Ballard High School in Louisville , Kentucky , in 1989 and from Oberlin College in Ohio in 1993 where he double-majored in Government and English and played for the varsity lacrosse team .",15,10,0.912,1.0,0.954
196,"Lemmy believes that if Will Reid Dick had not been there , they could have worked through the problems , but ended up exchanging a few words and Clarke left the studio .",12,9,0.944,0.957,0.95
197,"Males had a median income of $ 36,016 versus $ 32,679 for females .",8,8,0.989,1.0,0.995
198,"Meanwhile , the Mason City Division continued to operate as usual .",1,0,0.842,0.143,0.244
199,"Models , taking into account the size and room number of the barrack blocks in the Gorgan Wall forts and likely occupation density , produce figures between 15,000 and 36,000 soldiers .",11,10,0.986,1.0,0.993
200,Modernity has been blended without sacrificing on the traditional Buddhist ethos .,2,2,0.964,0.875,0.917
201,"Of the rest of the population , there was 1 individual who belonged to the Christian Catholic faith .",3,3,1.0,1.0,1.0
202,"Originally , Hank McCoy retains the basic features of a normal human alongside a generally simian physiology equivalent to that of a Great Ape .",8,7,0.972,1.0,0.986
203,Pakistan Chrome Mines Ltd. is a mining company incorporated in the Islamic Republic of Pakistan .,3,3,0.996,1.0,0.998
204,Parental investment is any expenditure of resources to benefit one offspring .,4,3,0.963,1.0,0.981
205,"Plants have been planted marking parts of the foundations of the castle , so the positions of some of the buildings can still be inferred .",9,8,0.985,0.857,0.916
206,"Scarpetta returns to Virginia in `` Trace '' , convincing herself that she was fired from her position , at the request of her replacement , Dr. Joel Marcus .",10,8,0.971,1.0,0.985
207,She died in October 1915 of a heart attack .,3,2,0.963,1.0,0.981
208,"She was ordered to be rebuilt on 9 March 1724 , and was taken in hand at Deptford Dockyard by Master Shipwright Richard Stacey .",9,7,0.96,1.0,0.979
209,"Shea was born on September 5 , 1900 in San Francisco , California .",5,5,0.971,1.0,0.985
210,"Superboy-Prime , seeing an opportunity to defeat the now-weakened Anti-Monitor , flew through the Anti-Monitor 's chest and hurled his shattered body into space .",11,11,0.983,1.0,0.991
211,The 2nd Battalion of the 13th Light Infantry was raised at Winchester in January 1858 .,9,8,0.989,1.0,0.994
212,"The Bureau of Alcohol , Tobacco , Firearms and Explosives , formed in 1886 , is a federal law enforcement organization within the United States Department of Justice .",5,5,0.975,1.0,0.988
213,"The CRZ was organized by the Nepal and Indian members of the Naxalite movement , in a meeting at Siliguri in the Indian State of West Bengal during August 2001 .",9,9,1.0,1.0,1.0
214,"The Steinbrenner family added a monument to Monument Park on September 20 , 2010 to honor Steinbrenner .",9,9,1.0,1.0,1.0
215,"The Summer Programs Office runs these programs , and many Wardlaw-Hartridge Students attend camp or classes over the summer .",11,11,0.984,1.0,0.992
216,The Triple-A Baseball National Championship Game was established in 2006 .,2,2,0.979,1.0,0.989
217,The Wilbur Cross Highway formerly ended in Sturbridge ; locals sometimes call Haynes Street and portions of Mashapaug Road `` Old Route 15 '' .,9,9,0.977,1.0,0.988
218,"The `` Charleston Courier , '' founded in 1803 , and `` Charleston Daily News , '' founded in 1865 , merged to form the `` News and Courier '' in 1873 .",12,11,0.97,0.9,0.933
219,The canal was dammed off from the river for most of the construction period .,5,4,0.961,1.0,0.98
